Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State/Province,Postal Code,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,Profit
1,US-2019-103800,03/01/2019,07/01/2019,Standard Class,DP-13000,Darren Powers,Replacement,United States,Houston,Texas,77095,Central,OFF-PA-10000174,Third Party,Paper,16.448,2,0.2,5.5512
2,US-2019-112326,04/01/2019,08/01/2019,Standard Class,PO-19195,Phillina Ober,Other,United States,Naperville,Illinois,60540,Central,OFF-BI-10004094,Third Party,Binders,3.54,2,0.8,-5.487
3,US-2019-112326,04/01/2019,08/01/2019,Standard Class,PO-19195,Phillina Ober,Other,United States,Naperville,Illinois,60540,Central,OFF-LA-10003223,Third Party,Labels,11.784,3,0.2,4.2717
4,US-2019-112326,04/01/2019,08/01/2019,Standard Class,PO-19195,Phillina Ober,Other,United States,Naperville,Illinois,60540,Central,OFF-ST-10002743,Third Party,Storage,272.736,3,0.2,-64.7748
5,US-2019-141817,05/01/2019,12/01/2019,Standard Class,MB-18085,Mick Brown,Replacement,United States,Philadelphia,Pennsylvania,19143,East,OFF-AR-10003478,Third Party,Art,19.536,3,0.2,4.884
6,US-2019-167199,06/01/2019,10/01/2019,Standard Class,ME-17320,Maria Etezadi,Other,United States,Henderson,Kentucky,42420,South,FUR-CH-10004063,Direct Sale,Chairs,2573.82,9,0,746.4078
7,US-2019-167199,06/01/2019,10/01/2019,Standard Class,ME-17320,Maria Etezadi,Other,United States,Henderson,Kentucky,42420,South,OFF-AR-10001662,Other,Art,5.48,2,0,1.4796
8,US-2019-106054,06/01/2019,07/01/2019,First Class,JO-15145,Jack O'Briant,Servicing,United States,Athens,Georgia,30605,South,OFF-AR-10002399,Other,Art,12.78,3,0,5.2398
9,US-2019-167199,06/01/2019,10/01/2019,Standard Class,ME-17320,Maria Etezadi,Other,United States,Henderson,Kentucky,42420,South,OFF-BI-10004632,Other,Binders,609.98,2,0,274.491
10,US-2019-167199,06/01/2019,10/01/2019,Standard Class,ME-17320,Maria Etezadi,Other,United States,Henderson,Kentucky,42420,South,OFF-FA-10001883,Other,Fasteners,31.12,4,0,0.3112
11,US-2019-167199,06/01/2019,10/01/2019,Standard Class,ME-17320,Maria Etezadi,Other,United States,Henderson,Kentucky,42420,South,OFF-PA-10000955,Other,Paper,6.54,1,0,3.0084
12,US-2019-130813,06/01/2019,08/01/2019,Second Class,LS-17230,Lycoris Saunders,Replacement,United States,Los Angeles,California,90049,West,OFF-PA-10002005,Third Party,Paper,19.44,3,0,9.3312
13,US-2019-167199,06/01/2019,10/01/2019,Standard Class,ME-17320,Maria Etezadi,Other,United States,Henderson,Kentucky,42420,South,TEC-PH-10004539,Pre Book,Phones,755.96,4,0,204.1092
14,US-2019-167199,06/01/2019,10/01/2019,Standard Class,ME-17320,Maria Etezadi,Other,United States,Henderson,Kentucky,42420,South,TEC-PH-10004977,Pre Book,Phones,391.98,2,0,113.6742
15,US-2019-105417,07/01/2019,12/01/2019,Standard Class,VS-21820,Vivek Sundaresam,Replacement,United States,Huntsville,Texas,77340,Central,FUR-FU-10004864,Direct Sale,Furnishings,76.728,3,0.6,-53.7096
16,US-2019-105417,07/01/2019,12/01/2019,Standard Class,VS-21820,Vivek Sundaresam,Replacement,United States,Huntsville,Texas,77340,Central,OFF-BI-10003708,Third Party,Binders,10.43,7,0.8,-18.2525
17,US-2019-135405,09/01/2019,13/01/2019,Standard Class,MS-17830,Melanie Seite,Replacement,United States,Laredo,Texas,78041,Central,OFF-AR-10004078,Third Party,Art,9.344,2,0.2,1.168
18,US-2019-135405,09/01/2019,13/01/2019,Standard Class,MS-17830,Melanie Seite,Replacement,United States,Laredo,Texas,78041,Central,TEC-AC-10001266,Pre Book,Accessories,31.2,3,0.2,9.75
19,US-2019-149020,10/01/2019,15/01/2019,Standard Class,AJ-10780,Anthony Jacobs,Servicing,United States,Springfield,Virginia,22153,South,FUR-FU-10000965,Direct Sale,Furnishings,51.94,1,0,21.2954
20,US-2019-149020,10/01/2019,15/01/2019,Standard Class,AJ-10780,Anthony Jacobs,Servicing,United States,Springfield,Virginia,22153,South,OFF-LA-10004272,Third Party,Labels,2.89,1,0,1.3583
21,US-2019-130092,11/01/2019,14/01/2019,First Class,SV-20365,Seth Vernon,Replacement,United States,Dover,Delaware,19901,East,FUR-FU-10000010,Direct Sale,Furnishings,9.94,2,0,3.0814
22,US-2019-157147,13/01/2019,18/01/2019,Standard Class,BD-11605,Brian Dahlen,Replacement,United States,San Francisco,California,94109,West,FUR-BO-10003034,Direct Sale,Bookcases,333.999,3,0.15,3.9294
23,US-2019-109232,13/01/2019,16/01/2019,Second Class,ND-18370,Natalie DeCherney,Replacement,United States,Mount Pleasant,South Carolina,29464,South,FUR-CH-10000422,Direct Sale,Chairs,545.94,6,0,87.3504
24,US-2019-157147,13/01/2019,18/01/2019,Standard Class,BD-11605,Brian Dahlen,Replacement,United States,San Francisco,California,94109,West,OFF-AR-10003514,Third Party,Art,19.9,5,0,6.567
25,US-2019-118192,13/01/2019,18/01/2019,Standard Class,MM-17920,Michael Moore,Replacement,United States,Newark,Ohio,43055,East,OFF-BI-10003476,Third Party,Binders,3.438,2,0.7,-2.5212
26,US-2019-162775,13/01/2019,15/01/2019,Second Class,CS-12250,Chris Selesnick,Servicing,United States,Bossier City,Louisiana,71111,South,OFF-BI-10004187,Third Party,Binders,5.64,3,0,2.7072
27,US-2019-162775,13/01/2019,15/01/2019,Second Class,CS-12250,Chris Selesnick,Servicing,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001532,Third Party,Envelopes,50.94,3,0,25.47
28,US-2019-162775,13/01/2019,15/01/2019,Second Class,CS-12250,Chris Selesnick,Servicing,United States,Bossier City,Louisiana,71111,South,OFF-EN-10001990,Third Party,Envelopes,11.36,2,0,5.3392
29,US-2019-118192,13/01/2019,18/01/2019,Standard Class,MM-17920,Michael Moore,Replacement,United States,Newark,Ohio,43055,East,OFF-PA-10002947,Third Party,Paper,37.408,7,0.2,13.0928
30,US-2019-162775,13/01/2019,15/01/2019,Second Class,CS-12250,Chris Selesnick,Servicing,United States,Bossier City,Louisiana,71111,South,OFF-ST-10000025,Third Party,Storage,572.58,6,0,34.3548
31,US-2019-157147,13/01/2019,18/01/2019,Standard Class,BD-11605,Brian Dahlen,Replacement,United States,San Francisco,California,94109,West,OFF-ST-10000078,Third Party,Storage,1325.85,5,0,238.653
